09887, 11138 
09057, 11504 
07923, 11627 
06555, 11439 
05068, 11037 
03452, 10404 
01818, 09552 
00242, 08613 
64280, 07486 
62956, 06300 
61843, 05159 
60980, 04045 
60396, 02961 
60127, 02021 
60148, 01196 
60474, 00553 
61093, 00068 
61976, 65313 
63075, 65222 
64378, 65280 
00313, 65532 
01889, 00426 
03473, 00975 
05104, 01617 
06683, 02375 
08168, 03136 
09521, 03964 
10752, 04809 
11769, 05589 
12616, 06398 
13200, 07138 
13561, 07783 
13710, 08358 
13626, 08842 
13355, 09257 
12874, 09572 
12205, 09801 
11393, 09930 
10477, 09964 
09459, 09935 
08351, 09815 
07242, 09611 
06104, 09347 
04979, 08976 
03925, 08524 
02897, 08004 
01998, 07366 
01173, 06671 
00475, 05884 
65456, 05006 
65017, 04077 
64717, 03036 
64589, 01923 
64557, 00814 
64645, 65171 
64866, 63977 
65130, 62815 
65471, 61638 
00317, 60542 
00715, 59549 
01068, 58668 
01424, 57917 
01663, 57323 
01816, 56922 
01834, 56707 
01692, 56697 
01357, 56907 
00890, 57327 
00218, 57922 
64874, 58736 
63832, 59682 
62612, 60770 
61291, 61952 
59821, 63205 
58310, 64503 
56765, 00251 
55247, 01545 
53811, 02726 
52478, 03844 
51327, 04820 
50354, 05697 
49672, 06414 
49292, 06984 
49173, 07406 
49419, 07744 
49997, 07972 
50870, 08088 
52040, 08153 
53497, 08197 
55185, 08274 
57035, 08360 
59000, 08505 
61070, 08749 
63094, 09092 
65089, 09556 
01417, 10115 
03058, 10821 
04499, 11616 
05666, 12521 
06534, 13465 
07097, 14469 
07340, 15419 
07304, 16386 
07012, 17232 
06493, 17990 
05780, 18579 
05016, 18991 
04204, 19158 
03408, 19108 
02721, 18828 
02192, 18295 
01956, 17501 
01943, 16501 
02274, 15324 
02955, 13970 
04003, 12496 
05391, 10909 
07081, 09306 
09066, 07691 
11290, 06187 
13627, 04750 
16074, 03441 
18482, 02309 
20759, 01354 
22870, 00610 
24673, 00076 
26087, 65263 
27053, 65131 
27590, 65151 
27579, 65288 
26964, 00021 
25877, 00319 
24248, 00621 
22141, 00925 
19626, 01139 
16812, 01239 
13730, 01237 
10519, 01035 
07304, 00645 
04178, 00140 
01209, 64950 
64121, 64016 
61892, 62982 
60079, 61769 
58824, 60499 
58120, 59182 
57959, 57857 
58385, 56536 
59365, 55326 
60748, 54241 
62586, 53277 
64771, 52522 
01610, 51929 
04113, 51582 
06600, 51481 
08986, 51587 
11156, 51899 
12988, 52394 
14467, 53085 
15419, 53910 
15876, 54819 
15718, 55838 
15044, 56868 
13783, 57910 
11992, 58931 
09711, 59882 
07012, 60733 
03989, 61565 
00701, 62246 
62831, 62823 
59366, 63312 
55979, 63750 
52741, 64096 
49737, 64364 
47057, 64649 
44741, 64918 
42874, 65189 
41505, 65493 
40599, 00331 
40150, 00728 
40173, 01228 
40628, 01778 
41479, 02391 
42644, 03074 
44103, 03750 
45742, 04448 
47552, 05099 
49426, 05708 
51292, 06223 
53130, 06598 
54844, 06843 
56420, 06901 
57819, 06776 
59044, 06402 
60021, 05858 
60798, 05065 
61358, 04103 
61713, 02897 
61920, 01544 
61927, 00051 
61808, 64011 
61579, 62365 
61294, 60703 
60969, 59072 
60590, 57503 
