0	-0
0	-0
0	0
0	0
0	0
-0	0
-0	0
-0	0
-0	-0
-0	-0
0	-0
0	-0
1	-0
1	0
1	1
0	1
-0	1
-1	1
-2	0
-2	-1
-1	-2
-0	-3
1	-3
3	-2
4	-0
4	2
2	4
0	5
-3	5
-5	3
-7	0
-6	-3
-4	-7
-0	-8
4	-8
8	-5
10	-1
10	5
6	9
1	12
-5	12
-11	8
-14	2
-13	-5
-9	-12
-3	-15
5	-15
12	-11
17	-4
17	5
13	12
5	17
-4	18
-12	14
-17	7
-19	-2
-16	-11
-9	-17
0	-19
9	-17
16	-11
18	-2
17	6
12	13
5	17
-3	17
-10	14
-15	8
-17	1
-15	-5
-12	-11
-6	-15
-0	-16
7	-15
12	-12
17	-6
19	1
18	9
14	16
6	22
-4	24
-15	22
-25	14
-31	2
-31	-13
-23	-27
-9	-37
9	-39
28	-33
43	-17
48	5
43	28
26	47
1	57
-27	54
-51	36
-65	8
-64	-25
-47	-54
-16	-72
21	-74
55	-58
78	-26
83	15
68	54
35	82
-8	92
-52	79
-85	46
-98	1
-89	-47
-57	-85
-11	-103
40	-97
82	-68
106	-22
105	31
79	77
34	106
-20	110
-70	89
-103	46
-114	-7
-98	-59
-59	-98
-7	-115
46	-106
90	-73
113	-23
112	31
86	79
40	109
-14	116
-65	98
-103	58
-118	6
-109	-49
-76	-93
-26	-119
30	-119
81	-94
116	-48
127	10
111	67
70	112
12	134
-51	127
-105	92
-138	34
-142	-33
-113	-97
-57	-141
15	-154
86	-133
141	-79
165	-4
151	75
100	140
23	174
-62	167
-136	120
-180	42
-180	-50
-137	-131
-58	-183
37	-191
125	-151
184	-73
198	25
162	118
85	182
-15	201
-111	169
-179	93
-201	-6
-171	-103
-98	-173
0	-197
96	-169
165	-98
189	-3
163	90
94	157
3	179
-86	152
-147	86
-165	-1
-137	-83
-72	-137
9	-149
82	-117
126	-54
130	21
94	84
32	116
-36	109
-88	67
-107	5
-87	-56
-38	-94
25	-98
79	-65
104	-6
90	58
41	105
-28	115
-94	84
-133	18
-129	-62
-79	-131
5	-163
98	-144
169	-75
195	27
161	132
72	208
-49	227
-167	178
-246	70
-258	-69
-194	-200
-68	-282
89	-288
231	-210
317	-66
316	108
225	261
63	349
-126	341
-288	237
-377	59
-363	-143
-246	-314
-54	-403
161	-381
337	-251
424	-46
394	178
253	358
36	442
-196	403
-377	249
-456	22
-407	-215
-242	-395
-6	-466
235	-405
411	-229
472	15
399	256
211	427
-39	476
-280	389
-441	189
-476	-67
-374	-305
-162	-455
98	-474
331	-355
469	-131
471	133
334	360
98	483
-170	465
-390	310
-497	61
-459	-209
-285	-421
-24	-512
249	-453
452	-259
526	15
