6107	-219
6210	-1127
6099	-1962
5773	-2650
5262	-3149
4621	-3447
3919	-3564
3233	-3537
2614	-3426
2120	-3270
1771	-3099
1557	-2933
1436	-2766
1369	-2579
1278	-2344
1103	-2032
788	-1623
304	-1110
-355	-504
-1160	169
-2053	870
-2954	1555
-3767	2180
-4397	2708
-4757	3111
-4786	3369
-4452	3475
-3758	3426
-2746	3223
-1489	2872
-83	2378
1364	1755
2743	1024
3958	219
4933	-613
5622	-1407
6009	-2092
6106	-2592
5953	-2839
5605	-2788
5127	-2425
4584	-1775
4033	-908
3519	74
3074	1039
2713	1851
2437	2384
2241	2548
2109	2298
2026	1652
1976	680
1945	-495
1921	-1726
1893	-2856
1852	-3748
1791	-4306
1699	-4488
1570	-4312
1397	-3848
1178	-3206
918	-2511
626	-1878
319	-1393
22	-1097
-241	-976
-442	-975
-560	-1002
-580	-961
-499	-767
-326	-372
-79	220
209	953
505	1725
772	2403
977	2854
1097	2968
1118	2683
1041	2002
875	996
640	-202
362	-1420
68	-2474
-218	-3199
-474	-3480
-687	-3268
-847	-2592
-949	-1554
-991	-307
-974	972
-896	2110
-759	2972
-562	3484
-311	3638
-15	3495
309	3164
638	2779
943	2470
1191	2331
1354	2404
1411	2668
1354	3043
1195	3412
963	3642
706	3621
484	3283
361	2625
393	1720
619	703
1053	-251
1673	-956
2425	-1254
3226	-1046
3971	-319
4551	849
4867	2296
4843	3795
4445	5098
3692	5983
2642	6278
1402	5904
106	4892
-1096	3375
-2063	1572
-2682	-252
-2882	-1825
-2644	-2921
-2008	-3393
-1062	-3202
67	-2417
1231	-1209
2283	184
3094	1499
3572	2491
3671	2980
3394	2879
2789	2206
1941	1083
957	-290
-52	-1670
-984	-2817
-1763	-3536
-2339	-3710
-2702	-3319
-2868	-2445
-2883	-1254
-2803	34
-2694	1187
-2613	1997
-2604	2321
-2694	2103
-2888	1380
-3173	278
-3520	-1013
-3888	-2276
-4229	-3300
-4495	-3919
-4644	-4038
-4637	-3649
-4450	-2826
-4071	-1712
-3503	-490
-2768	645
-1904	1525
-968	2034
-28	2126
837	1826
1545	1228
2023	471
2213	-287
2082	-899
1630	-1252
893	-1291
-59	-1022
-1127	-510
-2193	134
-3137	775
-3852	1281
-4259	1547
-4321	1514
-4050	1180
-3503	600
-2779	-121
-2002	-850
-1303	-1448
-799	-1793
