0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
-1	0
-1	0
-1	-1
-1	-1
-1	-2
-1	-2
-1	-3
0	-4
0	-5
1	-7
1	-8
2	-9
3	-11
3	-12
4	-13
4	-15
5	-16
5	-17
4	-18
4	-18
3	-19
2	-19
0	-19
-2	-19
-4	-18
-6	-18
-9	-17
-11	-16
-13	-16
-15	-15
-16	-14
-17	-13
-18	-12
-17	-11
-16	-10
-13	-9
-10	-9
-6	-9
-2	-9
4	-9
10	-10
16	-10
22	-11
29	-13
35	-15
40	-17
45	-19
49	-22
51	-25
52	-29
52	-33
49	-37
46	-41
40	-45
34	-50
26	-54
16	-58
6	-62
-4	-65
-15	-68
-26	-70
-36	-71
-46	-71
-55	-70
-63	-67
-69	-64
-74	-60
-77	-54
-78	-48
-79	-40
-77	-32
-75	-24
-71	-15
-67	-7
-62	1
-57	8
-53	15
-48	20
-45	23
-42	25
-40	26
-39	24
-39	21
-40	15
-42	9
-45	0
-48	-9
-51	-19
-54	-30
-57	-41
-59	-52
-60	-62
-60	-71
-59	-80
-56	-87
-52	-92
-47	-96
-41	-99
-33	-100
-26	-100
-18	-99
-10	-97
-3	-95
3	-93
8	-91
10	-90
10	-90
7	-91
1	-93
-7	-97
-18	-101
-32	-107
-48	-113
-66	-120
-85	-126
-105	-132
-125	-136
-144	-139
-161	-139
-176	-136
-187	-130
-195	-120
-199	-107
-198	-90
-193	-69
-182	-45
-167	-18
-148	11
-124	42
-98	73
-68	103
-37	131
-6	157
26	179
56	196
84	208
109	213
131	212
147	204
159	189
166	168
167	140
164	108
155	71
142	31
126	-11
107	-53
85	-95
63	-134
40	-170
18	-201
-2	-227
-20	-247
-35	-261
-47	-267
-55	-267
-59	-261
-60	-250
-58	-234
-53	-215
-47	-194
-40	-172
-33	-150
-26	-131
-22	-114
-20	-101
-22	-93
-29	-91
-39	-94
-55	-103
-76	-117
-102	-136
-133	-159
-167	-185
-204	-213
-242	-241
-282	-268
-320	-294
-357	-315
-391	-333
-420	-345
-443	-352
-460	-352
-470	-346
-471	-335
-465	-318
-450	-297
-427	-273
-397	-246
-360	-219
-318	-193
-272	-169
-223	-149
-172	-134
-122	-124
-72	-121
-26	-125
17	-135
54	-153
85	-177
110	-206
128	-239
138	-275
142	-313
139	-350
129	-386
114	-419
94	-447
70	-470
43	-486
13	-495
-18	-497
-50	-492
-82	-480
-114	-462
-146	-439
-178	-412
-210	-382
-242	-352
-275	-321
-309	-293
-344	-268
-382	-247
-422	-231
-465	-221
-510	-217
-559	-219
-611	-227
-664	-239
-719	-255
-774	-274
-828	-293
-880	-313
-927	-331
-968	-346
