0	0
-0	-0
0	0
-0	0
0	-0
-0	0
-0	-0
0	0
-0	-0
0	-0
-0	0
0	-1
0	1
-1	-1
1	0
-1	0
1	-1
-0	2
-1	-2
2	1
-2	-0
2	-1
-1	3
-0	-3
2	3
-4	-1
5	-1
-4	4
1	-5
2	6
-5	-4
7	1
-7	4
4	-7
1	9
-6	-7
10	3
-10	3
8	-8
-2	12
-5	-11
11	7
-14	1
12	-8
-5	14
-4	-15
12	11
-16	-2
15	-7
-9	15
-1	-18
11	14
-17	-6
18	-5
-12	14
2	-19
9	16
-17	-8
19	-3
-13	13
3	-18
8	17
-16	-9
18	-2
-13	12
3	-17
8	15
-15	-7
16	-4
-10	13
-0	-16
10	12
-16	-3
14	-8
-6	16
-6	-17
16	10
-20	3
15	-16
-2	23
-13	-21
25	9
-27	9
18	-25
0	33
-21	-28
36	11
-38	13
25	-35
-0	46
-28	-40
48	18
-52	14
37	-44
-5	60
-31	-54
59	28
-67	11
51	-49
-15	72
-30	-71
67	43
-82	3
68	-50
-28	82
-24	-86
71	58
-93	-8
83	-47
-43	88
-15	-99
70	74
-101	-21
97	-40
-57	89
-4	-107
65	87
-104	-34
106	-32
-69	87
7	-112
59	96
-104	-45
111	-24
-78	84
15	-114
54	102
-103	-52
114	-18
-82	81
20	-114
51	104
-103	-55
116	-16
-85	81
21	-116
51	107
-105	-57
120	-16
-88	85
21	-122
55	112
-112	-59
128	-18
-94	91
23	-132
60	123
-122	-66
141	-18
-106	99
29	-145
61	138
-133	-79
157	-12
-124	103
44	-159
56	158
-139	-100
175	2
-148	99
66	-168
41	179
-137	-126
187	27
-172	84
96	-168
15	195
-123	-154
189	60
-191	56
128	-154
-21	200
-93	-178
176	96
-199	17
156	-123
-62	188
-51	-189
145	129
-189	-29
172	-78
-100	156
-0	-182
96	150
-158	-73
168	-23
-126	106
49	-151
37	149
-105	-104
139	33
-130	41
87	-98
-25	123
-37	-114
84	78
-107	-27
103	-26
-77	68
37	-94
9	100
-54	-86
88	54
-107	-9
104	-43
-76	91
25	-123
39	128
-103	-99
148	37
-156	45
119	-126
-40	180
-62	-186
158	135
-216	-34
213	-89
-142	197
17	-254
125	235
-241	-138
289	-11
-248	170
123	-286
50	318
-219	-250
329	97
-339	97
241	-270
-61	367
-149	-350
320	221
-397	-16
350	-203
-190	365
-35	-417
257	339
-404	-151
427	-89
-318	307
106	-434
143	428
-352	-288
455	58
-419	194
253	-389
-8	467
-241	-402
419	215
-471	39
380	-283
-175	442
-84	-469
319	356
-460	-135
463	-126
-330	351
98	-473
164	455
-379	-304
483	62
-446	200
278	-405
-27	493
-234	-437
430	253
-503	8
428	-270
-227	457
-45	-513
308	418
